user_id,transaction_date,city,region,product_category,sale_amount,price,subscription,age,store_id,status,email,username,raw_timestamp
1092,2023-09-02,Houston,South,Beauty,520.22,13.14,Enterprise,20,STORE_004,,user1092@example.com,user_1092,2024-03-15 00:00:00
1469,2023-12-28,Chicago,Midwest,Books,530.8,38.5,Enterprise,27,STORE_003,,user1469@example.com,user_1469,2024-07-21 00:00:00
1104,2024-04-26,Chicago,Midwest,Electronics,248.71,38.44,Enterprise,39,STORE_009,Active,user1104@example.com,user_1104,2024-08-18 00:00:00
1914,2023-12-07,Chicago,Midwest,Food,781.35,91.67,Premium,38,STORE_018,Pending,user1914@example.com,user_1914,2024-10-08 00:00:00
1265,2023-05-19,Los Angeles,West,Clothing,,,Enterprise,18,STORE_010,Inactive,user1265@example.com,user_1265,2023-11-14 00:00:00
1802,2024-07-10,Houston,South,Toys,867.14,391.52,Free,18,STORE_007,Pending,user1802@example.com,user_1802,2024-01-12 00:00:00
1438,2024-02-14,Chicago,Midwest,Toys,799.32,186.84,Enterprise,37,STORE_006,,user1438@example.com,user_1438,2024-03-10 00:00:00
1709,2024-09-08,Houston,South,Food,451.46,151.34,Free,36,STORE_004,Active,user1709@example.com,user_1709,2024-03-30 00:00:00
1972,2023-02-13,Dallas,South,Home,517.96,206.07,Enterprise,33,STORE_002,Active,user1972@example.com,user_1972,2023-02-01 00:00:00
1012,2024-09-14,Houston,South,Toys,389.03,186.33,Premium,24,STORE_003,Inactive,user1012@example.com,user_1012,2024-11-26 00:00:00
1606,2024-01-15,New York,East,Home,321.24,186.64,Enterprise,64,STORE_003,,user1606@example.com,user_1606,2023-01-27 00:00:00
1670,2024-05-26,Los Angeles,West,Beauty,697.04,307.88,Premium,32,STORE_009,,user1670@example.com,user_1670,19/05/2023 00:00
1237,2024-04-07,Chicago,Midwest,Food,297.46,277.25,Enterprise,21,STORE_011,Pending,user1237@example.com,user_1237,2024-12-27T00:00:00Z
1043,2024-10-15,Dallas,South,Food,244.37,397.07,Free,48,STORE_008,Active,user1043@example.com,user_1043,2024-08-09 00:00:00
1486,2024-07-18,Los Angeles,West,Food,530.44,360.84,Premium,20,STORE_010,,user1486@example.com,user_1486,2023-03-17 00:00:00
1833,2023-11-21,Los Angeles,West,Clothing,555.79,415.38,Enterprise,45,STORE_017,Pending,user1833@example.com,user_1833,2023-05-13 00:00:00
1658,2023-02-26,Los Angeles,West,Clothing,352.56,356.12,Basic,35,STORE_006,Inactive,user1658@example.com,user_1658,2023-03-22 00:00:00
1001,2024-10-12,Dallas,South,Sports,176.95,253.77,Basic,56,STORE_010,,user1001@example.com,user_1001,2024-11-05 00:00:00
1806,2024-09-11,San Diego,West,Home,272.01,386.66,Premium,17,STORE_003,Active,user1806@example.com,user_1806,2024-09-24 00:00:00
1098,2024-05-24,San Antonio,South,Sports,69.31,41.12,Free,46,STORE_008,,user1098@example.com,user_1098,2023-07-28 00:00:00
1187,2023-05-28,San Jose,West,Home,566.03,188.42,Free,62,STORE_012,,user1187@example.com,user_1187,2023-10-01 00:00:00
1772,2023-05-25,San Jose,West,Clothing,903.29,481.53,Premium,34,STORE_013,,user1772@example.com,user_1772,2023-11-17 00:00:00
1627,2023-06-13,Dallas,South,Toys,,,Enterprise,47,STORE_010,,user1627@example.com,user_1627,2023-09-04 00:00:00
1082,2023-12-28,New York,East,Electronics,475.88,328.86,Premium,34,STORE_016,,user1082@example.com,user_1082,2024-03-17 00:00:00
1084,2023-09-28,Chicago,Midwest,Home,368.9,283.1,Enterprise,39,STORE_002,,user1084@example.com,user_1084,2024-04-06 00:00:00
1826,2023-10-14,Phoenix,West,Clothing,939.56,172.85,Basic,22,STORE_013,Pending,user1826@example.com,user_1826,2024-06-05 00:00:00
1629,2023-02-11,Phoenix,West,Electronics,894.2,78.73,Premium,24,STORE_011,,user1629@example.com,user_1629,2023-11-23 00:00:00
1106,2024-09-23,San Diego,West,Sports,480.14,283.65,Free,48,STORE_017,,,user_1106,NULL
1427,2024-08-20,New York,East,Sports,778.4,392.54,Premium,54,STORE_016,Pending,user1427@example.com,user_1427,2024-08-20 00:00:00
1669,2024-06-20,Los Angeles,West,Beauty,198.88,351.76,Basic,59,STORE_008,Active,user1669@example.com,user_1669,2024-02-27 00:00:00
1681,2024-02-25,Los Angeles,West,Toys,665.6,165.9,Premium,61,STORE_005,,user1681@example.com,user_1681,2023-06-27 00:00:00
1322,2024-06-29,Los Angeles,West,Home,286.22,478.88,Free,59,STORE_009,,user1322@example.com,user_1322,2023-11-01 00:00:00
1984,2024-12-22,Philadelphia,East,Books,724.45,467.57,Enterprise,36,STORE_016,Pending,user1984@example.com,user_1984,2024-07-10 00:00:00
1731,2024-02-09,Houston,South,Home,924.77,44.12,Basic,34,STORE_002,Pending,user1731@example.com,user_1731,2023-08-08 00:00:00
1597,2024-07-05,Dallas,South,Sports,60.26,123.44,Free,24,STORE_004,,user1597@example.com,user_1597,2023-08-27 00:00:00
1402,2024-02-28,Phoenix,West,Home,166.36,489.07,Enterprise,22,STORE_005,Active,user1402@example.com,user_1402,2024-05-02 00:00:00
1961,2023-07-24,Philadelphia,East,Sports,741.3,119.95,Free,34,STORE_002,Active,user1961@example.com,user_1961,2023-06-29 00:00:00
1343,2023-06-30,San Diego,West,Electronics,572.28,9.59,Enterprise,47,STORE_006,Pending,user1343@example.com,user_1343,2023-10-19 00:00:00
1184,2024-10-18,Philadelphia,East,Toys,170.87,60.76,Basic,48,STORE_015,Pending,user1184@example.com,user_1184,2023-07-10 00:00:00
1568,2023-12-12,Philadelphia,East,Sports,95.87,260.06,Basic,27,STORE_020,,user1568@example.com,user_1568,2023-05-24 00:00:00
1752,2023-09-12,San Diego,West,Electronics,308.93,477.25,Free,40,STORE_008,,user1752@example.com,,2024-10-31 00:00:00
1183,2023-08-30,San Jose,West,Electronics,896.17,253.75,Premium,45,STORE_010,Inactive,user1183@example.com,user_1183,2023-05-01 00:00:00
1781,2023-10-30,Phoenix,West,Home,609.68,375.13,Basic,30,STORE_005,,user1781@example.com,user_1781,2024-04-27 00:00:00
1582,2024-11-11,New York,East,Books,368.17,266.45,Basic,59,STORE_020,Active,user1582@example.com,user_1582,14/07/2024 00:00
1898,2023-07-27,Houston,South,Food,587.32,106.67,Basic,36,STORE_017,,user1898@example.com,user_1898,2023-02-26 00:00:00
1673,2024-06-09,Chicago,Midwest,Beauty,726.05,404.42,Enterprise,52,STORE_002,,user1673@example.com,user_1673,2023-08-12 00:00:00
1722,2023-02-16,Phoenix,West,Beauty,78.33,467.62,Free,60,STORE_003,,user1722@example.com,user_1722,2024-02-23 00:00:00
1302,2023-05-19,Philadelphia,East,Beauty,665.17,342.95,Free,40,STORE_015,,user1302@example.com,user_1302,2023-12-23 00:00:00
1292,2024-07-04,Philadelphia,East,Beauty,468.37,489.35,Basic,62,STORE_008,Active,user1292@example.com,user_1292,2024-01-24 00:00:00
1028,2023-09-11,San Diego,West,Toys,121.72,363.89,Free,25,STORE_009,Inactive,user1028@example.com,user_1028,2023-01-17 00:00:00
1123,2023-03-10,Chicago,Midwest,Clothing,444.57,26.9,Premium,44,STORE_020,Active,user1123@example.com,user_1123,2023-02-27 00:00:00
