order_id,customer_name,email,product_category,product_name,quantity,unit_price,discount_percent,total_amount,order_date,city,country,payment_method,order_status,rating,discount_price
ORD00001,Wei Reddy,,Home & Kitchen,Coffee Maker,2,339.97,0.0,679.94,2024-08-27,Tokyo,Japan,Credit Card,Delivered,5.0,611.946
ORD00002,Ava Sharma,ava.sharma734@example.com,Beauty,Perfume,8,296.69,0.0,2373.52,2023-06-13,Kyoto,Japan,UPI,Shipped,4.0,2136.168
ORD00003,Ishaan Kumar,ishaan.kumar368@example.com,Home & Kitchen,Storage Jars,1,366.22,20.0,292.98,2023-03-22,Rio de Janeiro,Brazil,,Returned,4.0,263.682
ORD00004,Liam Smith,liam.smith47@example.com,Beauty,Shampoo,2,428.38,20.0,685.41,2023-10-12,Marseille,France,Debit Card,Processing,4.0,616.869
ORD00005,Chen Kumar,chen.kumar176@example.com,Sports,Dumbbell Set,7,138.62,5.0,921.82,2023-11-29,Delhi,India,,Delivered,4.0,829.638
ORD00006,Sara Kumar,sara.kumar966@example.com,Sports,Cricket Bat,8,200.84,25.0,1205.04,2023-05-27,Vancouver,Canada,Debit Card,Returned,5.0,1084.536
ORD00007,Emma Muller,emma.muller225@example.com,Clothing,Rain Jacket,1,431.25,0.0,431.25,2024-11-27,Tokyo,Japan,Net Banking,Cancelled,5.0,388.125
ORD00008,David Brown,david.brown882@example.com,Electronics,Bluetooth Speaker,9,376.68,15.0,2881.6,2023-04-25,Calgary,Canada,Debit Card,Cancelled,,2593.44
ORD00009,Yuki Brown,yuki.brown781@example.com,Clothing,Rain Jacket,5,421.63,5.0,2002.74,2023-06-06,Melbourne,Australia,Cash on Delivery,Returned,5.0,1802.4660000000001
ORD00010,James Martinez,,Home & Kitchen,Blender,4,439.61,0.0,1758.44,2024-05-12,San Francisco,USA,,Shipped,5.0,1582.596
ORD00011,Sophia Gupta,sophia.gupta894@example.com,Sports,Football,9,378.86,10.0,3068.77,2024-02-13,Perth,Australia,Cash on Delivery,Cancelled,3.0,2761.893
ORD00012,Aditya Zhang,,Sports,Dumbbell Set,1,40.14,5.0,38.13,2023-03-11,Bengaluru,India,Credit Card,Returned,5.0,34.317
ORD00013,Ananya Rossi,ananya.rossi958@example.com,Sports,Cycling Helmet,8,404.71,0.0,3237.68,2024-11-05,Kyoto,Japan,Net Banking,Cancelled,1.0,2913.912
ORD00014,Li Reddy,li.reddy746@example.com,Home & Kitchen,Non-stick Pan,4,270.46,0.0,1081.84,2023-10-13,Lyon,France,,Delivered,5.0,973.656
ORD00015,Ishaan Patel,ishaan.patel554@example.com,Electronics,Bluetooth Speaker,4,87.32,5.0,331.82,2024-02-15,Delhi,India,Net Banking,Delivered,4.0,298.638
ORD00016,Isabella Garcia,isabella.garcia714@example.com,Beauty,Perfume,8,81.62,0.0,652.96,2024-08-16,Sao Paulo,Brazil,PayPal,Processing,,587.6640000000001
ORD00017,Liam Martinez,liam.martinez874@example.com,Sports,Dumbbell Set,9,44.66,0.0,401.94,2024-11-22,Frankfurt,Germany,Credit Card,Returned,5.0,361.746
ORD00018,Vivaan Dubois,vivaan.dubois674@example.com,Sports,Cycling Helmet,5,106.11,5.0,504.02,2023-09-29,Osaka,Japan,PayPal,Processing,2.0,453.618
ORD00019,Aarav Garcia,aarav.garcia577@example.com,Electronics,Bluetooth Speaker,9,136.27,0.0,1226.43,2023-09-08,Brisbane,Australia,Debit Card,Cancelled,4.0,1103.787
ORD00020,Ava Silva,,Sports,Cricket Bat,2,469.77,0.0,939.54,2023-04-20,Sao Paulo,Brazil,UPI,Processing,4.0,845.586
ORD00021,Ananya Brown,ananya.brown258@example.com,Electronics,Bluetooth Speaker,5,26.82,0.0,134.1,2024-10-14,Vancouver,Canada,PayPal,Cancelled,4.0,120.69
ORD00022,Sophia Sharma,sophia.sharma968@example.com,Beauty,Shampoo,6,293.34,0.0,1760.04,2023-02-12,Montreal,Canada,,Delivered,3.0,1584.036
ORD00023,Li Johnson,li.johnson363@example.com,Sports,Football,3,463.25,0.0,1389.75,2023-07-01,Tokyo,Japan,Debit Card,Processing,4.0,1250.775
ORD00024,Mei Johnson,mei.johnson807@example.com,Beauty,Face Serum,1,430.0,25.0,322.5,2023-12-25,Vancouver,Canada,Debit Card,Delivered,4.0,290.25
ORD00025,James Brown,james.brown991@example.com,Home & Kitchen,Blender,7,341.36,15.0,2031.09,2023-01-29,Chicago,USA,Debit Card,Returned,4.0,1827.981
ORD00026,Vivaan Reddy,vivaan.reddy354@example.com,Beauty,Lipstick Set,9,62.24,5.0,532.15,2023-09-18,Pune,India,Net Banking,Delivered,5.0,478.935
ORD00027,Li Smith,li.smith72@example.com,Beauty,Lipstick Set,2,361.28,10.0,650.3,2024-11-13,Kyoto,Japan,Net Banking,Processing,3.0,585.27
ORD00028,Emma Tanaka,emma.tanaka925@example.com,Clothing,Rain Jacket,7,276.23,,1933.61,2023-10-21,Frankfurt,Germany,,Returned,4.0,1740.249
ORD00029,Michael Garcia,michael.garcia219@example.com,Sports,Football,3,331.13,15.0,844.38,2023-04-06,Hamburg,Germany,Debit Card,Shipped,1.0,759.942
ORD00030,Diya Martinez,diya.martinez787@example.com,Electronics,Earbuds,10,101.25,25.0,759.38,2024-02-14,Munich,Germany,PayPal,Delivered,2.0,683.442
ORD00031,Haruto Suzuki,haruto.suzuki824@example.com,Beauty,Perfume,9,128.35,25.0,866.36,2023-05-17,Marseille,France,,Cancelled,5.0,779.724
ORD00032,Emma Rossi,emma.rossi163@example.com,Beauty,Sunscreen,4,420.73,25.0,1262.19,2024-10-03,Hamburg,Germany,Net Banking,Delivered,3.0,1135.971
ORD00033,Sara Zhang,sara.zhang554@example.com,Electronics,USB-C Cable,7,348.51,0.0,2439.57,2024-02-29,Kyoto,Japan,Cash on Delivery,Cancelled,3.0,2195.6130000000003
ORD00034,Sofia Suzuki,sofia.suzuki789@example.com,Sports,Yoga Mat,10,193.29,,1932.9,2023-12-27,Calgary,Canada,,Cancelled,5.0,1739.6100000000001
ORD00035,Mei Dubois,mei.dubois500@example.com,Clothing,Running Shoes,1,197.48,20.0,157.98,2023-06-19,Lyon,France,Cash on Delivery,Returned,,142.182
ORD00036,John Muller,john.muller28@example.com,Electronics,Smartwatch,8,94.96,15.0,645.73,2023-08-05,Marseille,France,UPI,Cancelled,4.0,581.157
ORD00037,Sara Kumar,sara.kumar768@example.com,Sports,Yoga Mat,6,115.99,0.0,695.94,2023-02-01,Munich,Germany,,Delivered,3.0,626.3460000000001
ORD00038,Rohan Martinez,rohan.martinez578@example.com,Clothing,Wool Sweater,6,88.06,0.0,528.36,2023-06-17,Toronto,Canada,Cash on Delivery,Delivered,5.0,475.524
ORD00039,Li Tanaka,li.tanaka733@example.com,Clothing,Cotton T-Shirt,4,55.44,0.0,221.76,2024-08-02,Bengaluru,India,Cash on Delivery,Cancelled,2.0,199.584
ORD00040,David Zhang,,Books,History Book,6,319.61,0.0,1917.66,2024-03-21,Birmingham,UK,Cash on Delivery,Returned,5.0,1725.894
ORD00041,Emma Muller,emma.muller873@example.com,Clothing,Cotton T-Shirt,8,125.71,20.0,804.54,2023-12-11,Chennai,India,,Processing,3.0,724.086
ORD00042,Mary Brown,mary.brown902@example.com,Sports,Cricket Bat,9,474.29,20.0,3414.89,2024-05-15,Sao Paulo,Brazil,PayPal,Cancelled,5.0,3073.401
ORD00043,Michael Sharma,michael.sharma227@example.com,Books,Cookbook,10,187.67,15.0,1595.19,2024-03-11,Rio de Janeiro,Brazil,UPI,Cancelled,4.0,1435.671
ORD00044,Diya Reddy,diya.reddy324@example.com,Electronics,USB-C Cable,8,141.87,10.0,1021.46,2023-04-13,Hamburg,Germany,Debit Card,Processing,1.0,919.3140000000001
ORD00045,Chen Rossi,chen.rossi47@example.com,Electronics,Webcam,3,320.75,0.0,962.25,2023-01-13,Abu Dhabi,UAE,Net Banking,Cancelled,3.0,866.025
ORD00046,Vivaan Brown,vivaan.brown490@example.com,Electronics,Bluetooth Speaker,2,290.63,0.0,581.26,2023-06-02,Abu Dhabi,UAE,Credit Card,Shipped,4.0,523.134
ORD00047,Ava Dubois,ava.dubois232@example.com,Sports,Football,8,152.19,20.0,974.02,2023-11-09,Sharjah,UAE,Credit Card,Returned,2.0,876.618
ORD00048,Haruto Smith,haruto.smith271@example.com,Beauty,Face Serum,3,278.24,20.0,667.78,2024-04-06,Abu Dhabi,UAE,UPI,Delivered,4.0,601.002
ORD00049,Chen Garcia,chen.garcia240@example.com,Home & Kitchen,LED Lamp,4,215.44,0.0,861.76,2023-09-30,London,UK,Credit Card,Shipped,5.0,775.5840000000001
ORD00050,Yuki Muller,yuki.muller450@example.com,Electronics,Earbuds,7,471.62,25.0,2476.01,2024-03-24,San Francisco,USA,Credit Card,Cancelled,5.0,2228.409
ORD00051,Sara Sharma,sara.sharma985@example.com,Beauty,Perfume,1,499.79,10.0,449.81,2024-08-13,Delhi,India,Net Banking,Returned,4.0,404.829
ORD00052,Priya Muller,priya.muller834@example.com,Books,Fiction Novel,7,169.99,0.0,1189.93,2023-12-04,Yokohama,Japan,UPI,Cancelled,5.0,1070.9370000000001
ORD00053,Vivaan Garcia,vivaan.garcia259@example.com,Home & Kitchen,Non-stick Pan,7,433.13,0.0,3031.91,2024-11-04,Rio de Janeiro,Brazil,Net Banking,Delivered,4.0,2728.719
ORD00054,Ava Martinez,ava.martinez779@example.com,Electronics,Laptop Stand,3,464.2,25.0,1044.45,2023-05-05,Pune,India,Cash on Delivery,Shipped,4.0,940.0050000000001
ORD00055,Sophia Sharma,sophia.sharma96@example.com,Clothing,Cotton T-Shirt,2,325.62,10.0,586.12,2024-06-05,Calgary,Canada,,Cancelled,3.0,527.508
ORD00056,Michael Rossi,michael.rossi196@example.com,Sports,Cycling Helmet,3,432.69,20.0,1038.46,2023-12-15,Rio de Janeiro,Brazil,,Delivered,4.0,934.614
ORD00057,Sofia Muller,sofia.muller676@example.com,Books,Cookbook,8,175.84,20.0,1125.38,2024-04-11,Melbourne,Australia,PayPal,Shipped,3.0,1012.8420000000001
ORD00058,Lucas Suzuki,lucas.suzuki763@example.com,Books,History Book,3,250.19,,750.57,2024-05-29,Abu Dhabi,UAE,,Delivered,5.0,675.513
ORD00059,Ishaan Silva,ishaan.silva16@example.com,Beauty,Shampoo,3,42.04,10.0,113.51,2023-12-13,Sharjah,UAE,Net Banking,Delivered,5.0,102.159
ORD00060,John Zhang,john.zhang909@example.com,Books,Children's Storybook,2,121.21,10.0,218.18,2023-08-21,Houston,USA,Credit Card,Delivered,4.0,196.36200000000002
ORD00061,Mateo Sharma,mateo.sharma816@example.com,Electronics,Webcam,7,77.06,0.0,539.42,2023-06-24,London,UK,Cash on Delivery,Cancelled,3.0,485.47799999999995
ORD00062,Olivia Muller,olivia.muller473@example.com,Beauty,Lipstick Set,1,449.96,10.0,404.96,2024-11-24,Sao Paulo,Brazil,Credit Card,Cancelled,5.0,364.464
ORD00063,Kavya Suzuki,kavya.suzuki468@example.com,Home & Kitchen,Coffee Maker,8,57.79,15.0,392.97,2024-08-11,Montreal,Canada,Credit Card,Cancelled,5.0,353.67300000000006
ORD00064,Lucas Patel,lucas.patel764@example.com,Books,Self-Help Guide,4,305.5,5.0,1160.9,2024-09-27,Vancouver,Canada,PayPal,Delivered,1.0,1044.8100000000002
ORD00065,Kavya Garcia,,Home & Kitchen,LED Lamp,5,166.73,5.0,791.97,2023-05-16,Rio de Janeiro,Brazil,Cash on Delivery,Returned,3.0,712.773
ORD00066,Sara Martinez,sara.martinez303@example.com,Beauty,Lipstick Set,8,481.63,5.0,3660.39,2024-11-23,Kyoto,Japan,Credit Card,Cancelled,,3294.351
ORD00067,Sophia Reddy,sophia.reddy689@example.com,Beauty,Lipstick Set,6,58.63,0.0,351.78,2024-09-26,Rio de Janeiro,Brazil,Cash on Delivery,Shipped,5.0,316.602
ORD00068,Isabella Williams,isabella.williams120@example.com,Clothing,Cotton T-Shirt,5,497.98,5.0,2365.41,2024-07-04,Leeds,UK,Net Banking,Processing,5.0,2128.869
ORD00069,Emma Muller,emma.muller159@example.com,Books,Fiction Novel,10,207.02,0.0,2070.2,2024-01-15,Frankfurt,Germany,Net Banking,Shipped,2.0,1863.1799999999998
ORD00070,Li Wang,li.wang661@example.com,Home & Kitchen,Non-stick Pan,4,484.26,25.0,1452.78,2023-04-04,Berlin,Germany,Credit Card,Processing,3.0,1307.502
ORD00071,Mei Muller,mei.muller850@example.com,Sports,Dumbbell Set,4,167.64,0.0,670.56,2023-10-11,Manchester,UK,Cash on Delivery,Processing,2.0,603.504
ORD00072,Li Sharma,li.sharma367@example.com,Clothing,Rain Jacket,3,136.36,20.0,327.26,2024-06-22,New York,USA,Net Banking,Cancelled,5.0,294.534
ORD00073,Liam Reddy,liam.reddy227@example.com,Sports,Yoga Mat,9,154.31,0.0,1388.79,2023-03-04,Nice,France,Net Banking,Delivered,5.0,1249.911
ORD00074,Aditya Kumar,aditya.kumar152@example.com,Electronics,USB-C Cable,10,276.44,10.0,2487.96,2024-04-09,Brasilia,Brazil,Net Banking,Delivered,2.0,2239.164
ORD00075,Lucas Rossi,lucas.rossi221@example.com,Books,History Book,7,172.77,20.0,967.51,2023-04-08,Perth,Australia,UPI,Processing,3.0,870.759
ORD00076,Li Martinez,li.martinez852@example.com,Electronics,Bluetooth Speaker,6,406.83,15.0,2074.83,2024-11-17,Houston,USA,UPI,Cancelled,1.0,1867.347
ORD00077,Kavya Dubois,kavya.dubois107@example.com,Sports,Cycling Helmet,8,116.0,15.0,788.8,2023-04-28,Vancouver,Canada,,Cancelled,5.0,709.92
ORD00078,Ava Rossi,,Beauty,Lipstick Set,,140.27,15.0,,2023-12-26,Delhi,India,,Shipped,4.0,
ORD00079,Aditya Singh,aditya.singh996@example.com,Electronics,Bluetooth Speaker,4,191.22,0.0,764.88,2024-01-14,Montreal,Canada,,Returned,1.0,688.392
ORD00080,Rohan Gupta,rohan.gupta51@example.com,Beauty,Face Serum,7,245.4,10.0,1546.02,2023-08-09,Sao Paulo,Brazil,UPI,Cancelled,5.0,1391.4180000000001
ORD00081,Olivia Silva,olivia.silva47@example.com,Clothing,Wool Sweater,1,8.81,5.0,8.37,2023-05-21,Montreal,Canada,UPI,Delivered,,7.5329999999999995
ORD00082,Yuki Suzuki,yuki.suzuki390@example.com,Sports,Dumbbell Set,6,40.68,0.0,244.08,2024-03-22,Chennai,India,Credit Card,Processing,5.0,219.67200000000003
ORD00083,John Suzuki,john.suzuki415@example.com,Electronics,Power Bank,10,232.75,15.0,1978.38,2023-04-01,Tokyo,Japan,Debit Card,Cancelled,5.0,1780.5420000000001
ORD00084,Aditya Tanaka,aditya.tanaka764@example.com,Home & Kitchen,Coffee Maker,3,42.81,5.0,122.01,2023-12-24,Melbourne,Australia,Debit Card,Delivered,3.0,109.80900000000001
ORD00085,Priya Dubois,priya.dubois778@example.com,Beauty,Face Serum,8,234.66,25.0,1407.96,2024-11-28,Sharjah,UAE,PayPal,Returned,4.0,1267.164
ORD00086,Rohan Garcia,rohan.garcia453@example.com,Beauty,Lipstick Set,10,32.81,10.0,295.29,2024-04-17,Paris,France,Credit Card,Processing,2.0,265.761
ORD00087,Wei Kumar,wei.kumar520@example.com,Books,History Book,1,227.62,5.0,216.24,2023-11-26,Abu Dhabi,UAE,Cash on Delivery,Shipped,5.0,194.616
ORD00088,Ishaan Zhang,ishaan.zhang87@example.com,Sports,Dumbbell Set,8,495.54,0.0,3964.32,2024-01-08,Brisbane,Australia,Net Banking,Cancelled,5.0,3567.8880000000004
ORD00089,Vivaan Zhang,vivaan.zhang97@example.com,Sports,Football,10,437.27,0.0,4372.7,2023-12-25,Calgary,Canada,Debit Card,Returned,2.0,3935.43
ORD00090,Kavya Rossi,kavya.rossi811@example.com,Home & Kitchen,Coffee Maker,9,51.26,15.0,392.14,2023-01-19,Brisbane,Australia,Debit Card,Shipped,5.0,352.926
ORD00091,Ananya Johnson,ananya.johnson159@example.com,Electronics,Webcam,2,256.31,0.0,512.62,2024-11-08,Melbourne,Australia,Cash on Delivery,Cancelled,3.0,461.358
ORD00092,Sofia Dubois,sofia.dubois170@example.com,Beauty,Sunscreen,6,339.8,25.0,1529.1,2024-09-17,Calgary,Canada,Debit Card,Returned,5.0,1376.19
ORD00093,Mateo Smith,mateo.smith970@example.com,Sports,Football,5,390.17,20.0,1560.68,2023-06-15,Munich,Germany,,Processing,,1404.612
ORD00094,Olivia Wang,olivia.wang106@example.com,Beauty,Perfume,5,46.52,25.0,174.45,2024-06-09,Leeds,UK,Credit Card,Shipped,4.0,157.005
