order_id,customer_name,email,product_category,product_name,quantity,unit_price,discount_percent,total_amount,order_date,city,country,payment_method,order_status,rating
ORD00001,Wei Reddy,,Home & Kitchen,Coffee Maker,2.0,339.97,0.0,679.94,2024-08-27,Tokyo,Japan,Credit Card,Delivered,5.0
ORD00002,Ava Sharma,ava.sharma734@example.com,Beauty,Perfume,8.0,296.69,0.0,2373.52,2023-06-13,Kyoto,Japan,UPI,Shipped,4.0
ORD00003,Ishaan Kumar,ishaan.kumar368@example.com,Home & Kitchen,Storage Jars,1.0,366.22,20.0,292.98,2023-03-22,Rio de Janeiro,Brazil,,Returned,4.0
ORD00004,Liam Smith,liam.smith47@example.com,Beauty,Shampoo,2.0,428.38,20.0,685.41,2023-10-12,Marseille,France,Debit Card,Processing,4.0
ORD00005,Chen Kumar,chen.kumar176@example.com,Sports,Dumbbell Set,7.0,138.62,5.0,921.82,2023-11-29,Delhi,India,,Delivered,4.0
ORD00006,Sara Kumar,sara.kumar966@example.com,Sports,Cricket Bat,8.0,200.84,25.0,1205.04,2023-05-27,Vancouver,Canada,Debit Card,Returned,5.0
ORD00007,Emma Muller,emma.muller225@example.com,Clothing,Rain Jacket,1.0,431.25,0.0,431.25,2024-11-27,Tokyo,Japan,Net Banking,Cancelled,5.0
ORD00008,David Brown,david.brown882@example.com,Electronics,Bluetooth Speaker,9.0,376.68,15.0,2881.6,2023-04-25,Calgary,Canada,Debit Card,Cancelled,
ORD00009,Yuki Brown,yuki.brown781@example.com,Clothing,Rain Jacket,5.0,421.63,5.0,2002.74,2023-06-06,Melbourne,Australia,Cash on Delivery,Returned,5.0
ORD00010,James Martinez,,Home & Kitchen,Blender,4.0,439.61,0.0,1758.44,2024-05-12,San Francisco,USA,,Shipped,5.0
ORD00011,Sophia Gupta,sophia.gupta894@example.com,Sports,Football,9.0,378.86,10.0,3068.77,2024-02-13,Perth,Australia,Cash on Delivery,Cancelled,3.0
ORD00012,Aditya Zhang,,Sports,Dumbbell Set,1.0,40.14,5.0,38.13,2023-03-11,Bengaluru,India,Credit Card,Returned,5.0
ORD00013,Ananya Rossi,ananya.rossi958@example.com,Sports,Cycling Helmet,8.0,404.71,0.0,3237.68,2024-11-05,Kyoto,Japan,Net Banking,Cancelled,1.0
ORD00014,Li Reddy,li.reddy746@example.com,Home & Kitchen,Non-stick Pan,4.0,270.46,0.0,1081.84,2023-10-13,Lyon,France,,Delivered,5.0
ORD00015,Ishaan Patel,ishaan.patel554@example.com,Electronics,Bluetooth Speaker,4.0,87.32,5.0,331.82,2024-02-15,Delhi,India,Net Banking,Delivered,4.0
ORD00016,Isabella Garcia,isabella.garcia714@example.com,Beauty,Perfume,8.0,81.62,0.0,652.96,2024-08-16,Sao Paulo,Brazil,PayPal,Processing,
ORD00017,Liam Martinez,liam.martinez874@example.com,Sports,Dumbbell Set,9.0,44.66,0.0,401.94,2024-11-22,Frankfurt,Germany,Credit Card,Returned,5.0
ORD00018,Vivaan Dubois,vivaan.dubois674@example.com,Sports,Cycling Helmet,5.0,106.11,5.0,504.02,2023-09-29,Osaka,Japan,PayPal,Processing,2.0
ORD00019,Aarav Garcia,aarav.garcia577@example.com,Electronics,Bluetooth Speaker,9.0,136.27,0.0,1226.43,2023-09-08,Brisbane,Australia,Debit Card,Cancelled,4.0
ORD00020,Ava Silva,,Sports,Cricket Bat,2.0,469.77,0.0,939.54,2023-04-20,Sao Paulo,Brazil,UPI,Processing,4.0
